ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;FONCTION_PERSONNEL;TS_CREATION_PERSONNEL;TS_MAJ_PPERSONNEL
KeyPers_Berlin_1230000;Name0;FistName0;1993-11-04;Osaka;Japan;NS000000000;;+336##0263188;57;NomVoie940;;#8830;Berlin;Germany;Dateningenieur;2010-09-09 11:22:17;2010-09-09 11:22:17
KeyPers_Berlin_1230001;Name1;FistName1;1932-11-22;Wellington;New Zealand;NS000000001;;+336##0401873;64;NomVoie711;;#9785;Berlin;Germany;Führungskraft;2017-07-24 16:51:18;2017-07-24 16:51:18
KeyPers_Berlin_1230002;Name2;FistName2;1990-08-12;Sidney;Australia;NS000000002;;+336##0524126;94;NomVoie322;;#4816;Berlin;Germany;Dateningenieur;1997-08-20 04:01:46;1997-08-20 04:01:46
KeyPers_Berlin_1230003;Name3;FistName3;1965-05-26;Rabat;Maroc;NS000000003;;+336##0418484;78;NomVoie593;;#3546;Berlin;Germany;Ökonom;1998-11-17 19:25:01;1998-11-17 19:25:01
KeyPers_Berlin_1230004;Name4;FistName4;1959-01-18;Shanghai;China;NS000000004;;+336##0986317;65;NomVoie404;;#6788;Berlin;Germany;Dateningenieur;2010-11-10 04:24:37;2010-11-10 04:24:37
KeyPers_Berlin_1230005;Name5;FistName5;1985-10-08;Dubaï;Emirats;NS000000005;;+336##0270257;36;NomVoie325;;#3254;Berlin;Germany;Führungskraft;2009-07-21 13:37:06;2009-07-21 13:37:06
KeyPers_Berlin_1230006;Name6;FistName6;1953-04-13;Lille;France;;;+336##0771894;96;NomVoie126;;#5405;Berlin;Germany;Ökonom;2011-11-26 01:26:55;2011-11-26 01:26:55
KeyPers_Berlin_1230007;Name7;FistName7;1985-08-27;Lima;Peru;NS000000007;;+336##0123224;49;NomVoie437;;#1009;Berlin;Germany;Dateningenieur;2002-08-22 14:36:59;2002-08-22 14:36:59
KeyPers_Berlin_1230008;Name8;FistName8;1980-07-25;Sao Paulo;Brazil;NS000000008;;+336##0101799;51;NomVoie278;;#6528;Berlin;Germany;Dateningenieur;2019-07-14 03:57:59;2019-07-14 03:57:59
KeyPers_Berlin_1230009;Name9;FistName9;1997-06-27;Buenos Aires;Argentina;NS000000009;;+336##0135061;99;NomVoie199;;#8648;Berlin;Germany;Dateningenieur;2010-05-15 05:54:01;2010-05-15 05:54:01
KeyPers_Berlin_1230010;Name10;FistName10;1941-03-13;Stockholm;Suède;NS000000010;;+336##0055626;62;NomVoie9810;;#9237;Berlin;Germany;Dateningenieur;2018-08-10 05:37:44;2018-08-10 05:37:44
KeyPers_Berlin_1230011;Name11;FistName11;2013-03-27;Pekin;China;NS000000011;;+336##0261116;81;NomVoie3011;;#8858;Berlin;Germany;Dateningenieur;2005-05-10 18:55:04;2005-05-10 18:55:04
KeyPers_Berlin_1230012;Name12;FistName12;1986-01-14;Buenos Aires;Argentina;NS000000012;;+336##0439454;90;NomVoie9412;;#4715;Berlin;Germany;Ökonom;2021-11-26 08:48:48;2021-11-26 08:48:48
KeyPers_Berlin_1230013;Name13;FistName13;1989-11-23;Stockholm;Suède;NS000000013;;+336##0789848;74;NomVoie113;;#0898;Berlin;Germany;Führungskraft;2019-09-05 07:32:09;2019-09-05 07:32:09
KeyPers_Berlin_1230014;Name14;FistName14;1951-01-14;Montreal;Canada;NS000000014;;+336##0025841;81;NomVoie214;;#2514;Berlin;Germany;Personalleiter;2022-06-21 14:27:30;2022-06-21 14:27:30
KeyPers_Berlin_1230015;Name15;FistName15;1978-01-20;Alger;Algeria;NS000000015;;+336##0422645;65;NomVoie4015;;#0795;Berlin;Germany;Computeringenieur;2013-06-06 23:11:40;2013-06-06 23:11:40
KeyPers_Berlin_1230016;Name16;FistName16;2011-07-08;Sidney;Australia;NS000000016;;+336##0503358;38;NomVoie7916;;#4071;Berlin;Germany;Dateningenieur;1997-04-15 18:13:26;1997-04-15 18:13:26
KeyPers_Berlin_1230017;Name17;FistName17;1970-06-11;Montreal;Canada;NS000000017;;+336##0215597;36;NomVoie7017;;#0493;Berlin;Germany;Computeringenieur;2016-07-21 18:21:28;2016-07-21 18:21:28
KeyPers_Berlin_1230018;Name18;FistName18;1981-09-11;Tokyo;Japan;NS000000018;;+336##0968305;52;NomVoie4718;;#0434;Berlin;Germany;Computeringenieur;2001-10-10 21:35:30;2001-10-10 21:35:30
KeyPers_Berlin_1230019;Name19;FistName19;1948-10-21;New-York;USA;NS000000019;;+336##0803658;34;NomVoie919;;#0204;Berlin;Germany;Computeringenieur;2012-02-05 17:17:50;2012-02-05 17:17:50
KeyPers_Berlin_1230020;Name20;FistName20;1954-02-17;Alger;Algeria;NS000000020;;+336##0937565;31;NomVoie9220;;#0269;Berlin;Germany;Computeringenieur;2020-05-11 11:19:13;2020-05-11 11:19:13
KeyPers_Berlin_1230021;Name21;FistName21;1992-11-17;Auckland;New Zealand;NS000000021;;+336##0429649;40;NomVoie4621;;#0973;Berlin;Germany;Führungskraft;2003-03-02 01:02:38;2003-03-02 01:02:38
