ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;FONCTION_PERSONNEL;TS_CREATION_PERSONNEL;TS_MAJ_PPERSONNEL
KeyPers_London_1230000;Name0;FistName0;2004-07-14;Melbourne;Australia;NS000000000;;+336##0612365;97;NomVoie120;;#1819;London;England;Data Engineer;2020-10-03 17:41:19;2020-10-03 17:41:19
KeyPers_London_1230001;Name1;FistName1;1954-10-23;Tunis;Tunisie;NS000000001;;+336##0487142;65;NomVoie351;;#1748;London;England;Data Engineer;2022-09-09 06:06:04;2022-09-09 06:06:04
KeyPers_London_1230002;Name2;FistName2;1937-04-09;Tokyo;Japan;NS000000002;;+336##0059989;71;NomVoie442;;#0669;London;England;Computer Engineer;2007-08-27 10:18:05;2007-08-27 10:18:05
KeyPers_London_1230003;Name3;FistName3;1970-08-07;Bordeaux;France;NS000000003;;+336##0366753;10;NomVoie743;;#9255;London;England;Data Engineer;2023-10-02 21:57:57;2023-10-02 21:57:57
KeyPers_London_1230004;Name4;FistName4;1994-11-26;Helsinki;Finlande;NS000000004;;+336##0422772;47;NomVoie314;;#7467;London;England;Computer Engineer;2013-01-24 14:22:05;2013-01-24 14:22:05
KeyPers_London_1230005;Name5;FistName5;1988-05-06;Washington;USA;NS000000005;;+336##0459622;38;NomVoie895;;#0059;London;England;Computer Engineer;2017-01-02 05:16:36;2017-01-02 05:16:36
KeyPers_London_1230006;Name6;FistName6;1947-04-19;Compiègne;France;NS000000006;;+336##0393038;58;NomVoie316;;#1846;London;England;Business Executive;2012-09-06 23:04:07;2012-09-06 23:04:07
KeyPers_London_1230007;Name7;FistName7;2006-10-13;Sidney;Australia;NS000000007;;+336##0673383;22;NomVoie787;;#0364;London;England;Computer Engineer;2021-01-18 07:21:37;2021-01-18 07:21:37
KeyPers_London_1230008;Name8;FistName8;1959-03-12;Marseille;France;NS000000008;;+336##0610612;25;NomVoie48;;#9896;London;England;Data Engineer;2022-01-18 10:10:59;2022-01-18 10:10:59
KeyPers_London_1230009;Name9;FistName9;1960-07-26;New-York;USA;NS000000009;;+336##0939602;46;NomVoie919;;#6284;London;England;Data Engineer;2000-05-10 06:33:49;2000-05-10 06:33:49
KeyPers_London_1230010;Name10;FistName10;1945-06-06;Rabat;Maroc;NS000000010;;+336##0733017;64;NomVoie8510;;#4921;London;England;Data Engineer;2010-02-09 21:58:17;2010-02-09 21:58:17
KeyPers_London_1230011;Name11;FistName11;1979-01-07;Tokyo;Japan;NS000000011;;+336##0544343;51;NomVoie8311;;#7804;London;England;Business Executive;2012-11-01 10:40:58;2012-11-01 10:40:58
KeyPers_London_1230012;Name12;FistName12;1981-04-03;Auckland;New Zealand;NS000000012;;+336##0481276;99;NomVoie412;;#4743;London;England;Computer Engineer;1999-03-02 10:43:51;1999-03-02 10:43:51
KeyPers_London_1230013;Name13;FistName13;1969-03-12;Sidney;Australia;;;+336##0629258;36;NomVoie8713;;#5633;London;England;Business Executive;2001-01-26 07:49:11;2001-01-26 07:49:11
KeyPers_London_1230014;Name14;FistName14;2002-04-21;Rio de Janeiro;Brazil;NS000000014;;+336##0163809;11;NomVoie3514;;#1343;London;England;Computer Engineer;2019-06-08 04:02:01;2019-06-08 04:02:01
KeyPers_London_1230015;Name15;FistName15;1950-08-07;Tokyo;Japan;NS000000015;;+336##0678439;3;NomVoie8115;;#1681;London;England;Business Executive;2019-07-07 11:15:48;2019-07-07 11:15:48
KeyPers_London_1230016;Name16;FistName16;2002-07-11;Vancouver;Canada;NS000000016;;+336##0228494;74;NomVoie4516;;#3072;London;England;Computer Engineer;2014-05-14 22:21:25;2014-05-14 22:21:25
KeyPers_London_1230017;Name17;FistName17;1997-06-23;Pekin;China;NS000000017;;+336##0181460;44;NomVoie7817;;#6050;London;England;Computer Engineer;2006-02-23 10:12:25;2006-02-23 10:12:25
KeyPers_London_1230018;Name18;FistName18;2012-03-04;Marseille;France;NS000000018;;+336##0291682;54;NomVoie8818;;#0542;London;England;Data Engineer;2019-09-20 10:45:47;2019-09-20 10:45:47
KeyPers_London_1230019;Name19;FistName19;1944-01-12;Bordeaux;France;NS000000019;;+336##0286174;20;NomVoie8419;;#6807;London;England;Data Engineer;2003-09-17 19:23:23;2003-09-17 19:23:23
KeyPers_London_1230020;Name20;FistName20;1952-04-13;Rabat;Maroc;NS000000020;;+336##0682077;29;NomVoie9520;;#2642;London;England;Data Engineer;2007-11-19 22:55:25;2007-11-19 22:55:25
KeyPers_London_1230021;Name21;FistName21;1947-08-11;Tokyo;Japan;NS000000021;;+336##0101901;18;NomVoie3921;;#7175;London;England;Business Executive;2001-07-16 10:32:43;2001-07-16 10:32:43
KeyPers_London_1230022;Name22;FistName22;2008-01-21;Osaka;Japan;NS000000022;;+336##0082598;3;NomVoie3222;;#6590;London;England;Computer Engineer;2007-01-08 22:28:18;2007-01-08 22:28:18
KeyPers_London_1230023;Name23;FistName23;2010-05-23;Berlin;Allemagne;NS000000023;;+336##0860441;83;NomVoie1423;;#2417;London;England;Business Executive;2000-10-17 18:17:32;2000-10-17 18:17:32
KeyPers_London_1230024;Name24;FistName24;1974-05-07;Wellington;New Zealand;NS000000024;;+336##0678131;81;NomVoie8124;;#8007;London;England;Computer Engineer;2002-11-27 02:30:31;2002-11-27 02:30:31
KeyPers_London_1230025;Name25;FistName25;2007-09-12;New-York;USA;NS000000025;;+336##0181675;96;NomVoie7325;;#0431;London;England;Business Executive;2000-09-13 10:20:36;2000-09-13 10:20:36
KeyPers_London_1230026;Name26;FistName26;2015-11-18;Mexico;Mexico;NS000000026;;+336##0557726;72;NomVoie7326;;#8453;London;England;Business Executive;2009-08-20 05:51:08;2009-08-20 05:51:08
KeyPers_London_1230027;Name27;FistName27;1956-08-10;Alger;Algeria;NS000000027;;+336##0682601;90;NomVoie1427;;#9596;London;England;Data Engineer;2020-04-07 18:28:26;2020-04-07 18:28:26
